sample_year,sample_date,project_code,trip_no,effort_no,submitter_sample_id,management_area_code,location_code,fishery_code,gear_type,gear_code,submitter_specimen_id,date_sampled,field_species_code,length,length_type_code,weight,weight_type_code,gender_code,maturity_code,specimen_comment
2017,07-04-2017,SO1,0003,DS17-5589,DS17040924201707040003,D,D06,CO,Dredge,22,3,07-04-2017,850,143,SH,,WH,,,
2017,07-04-2017,SO1,0003,DS17-5589,DS17040924201707040003,D,D06,CO,Dredge,22,43,07-04-2017,850,86,SH,,WH,,,
2017,07-04-2017,SO1,0005,DS17-5589,DS17040924201707040005,D,D06,CO,Dredge,22,3,07-04-2017,850,112,SH,,WH,,,
2017,07-04-2017,SO1,0005,DS17-5589,DS17040924201707040005,D,D06,CO,Dredge,22,43,07-04-2017,850,109,SH,,WH,,,
2017,07-05-2017,SO1,0015,DS17-5589,DS17040924201707050015,D,D06,CO,Dredge,22,4,07-05-2017,850,114,SH,,WH,,,
2017,07-05-2017,SO1,0015,DS17-5589,DS17040924201707050015,D,D06,CO,Dredge,22,44,07-05-2017,850,98,SH,,WH,,,
2017,07-05-2017,SO1,0017,DS17-5589,DS17040924201707050017,D,D06,CO,Dredge,22,4,07-05-2017,850,108,SH,,WH,,,
2017,07-05-2017,SO1,0017,DS17-5589,DS17040924201707050017,D,D06,CO,Dredge,22,44,07-05-2017,850,83,SH,,WH,,,
2017,07-05-2017,SO1,0019,DS17-5589,DS17040924201707050019,D,D06,CO,Dredge,22,4,07-05-2017,850,110,SH,,WH,,,
2017,07-05-2017,SO1,0019,DS17-5589,DS17040924201707050019,D,D06,CO,Dredge,22,44,07-05-2017,850,84,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,1,07-05-2017,850,135,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,2,07-05-2017,850,125,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,3,07-05-2017,850,141,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,4,07-05-2017,850,126,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,5,07-05-2017,850,128,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,6,07-05-2017,850,128,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,7,07-05-2017,850,139,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,8,07-05-2017,850,150,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,9,07-05-2017,850,140,SH,,WH,,,
2017,07-05-2017,SO2,0021,DS17-5589,DS17040924201707050021,D,D06,CO,Dredge,22,10,07-05-2017,850,131,SH,,WH,,,
2017,07-06-2017,SO1,0033,DS17-5589,DS17040924201707060033,D,D06,CO,Dredge,22,6,07-06-2017,850,144,SH,,WH,,,
2017,07-06-2017,SO1,0033,DS17-5589,DS17040924201707060033,D,D06,CO,Dredge,22,46,07-06-2017,850,106,SH,,WH,,,
2017,07-06-2017,SO1,0035,DS17-5589,DS17040924201707060035,D,D06,CO,Dredge,22,6,07-06-2017,850,125,SH,,WH,,,
2017,07-06-2017,SO1,0035,DS17-5589,DS17040924201707060035,D,D06,CO,Dredge,22,46,07-06-2017,850,79,SH,,WH,,,
2017,07-06-2017,SO1,0037,DS17-5589,DS17040924201707060037,D,D06,CO,Dredge,22,6,07-06-2017,850,134,SH,,WH,,,
2017,07-06-2017,SO1,0037,DS17-5589,DS17040924201707060037,D,D06,CO,Dredge,22,46,07-06-2017,850,103,SH,,WH,,,
2017,07-06-2017,SO1,0039,DS17-5589,DS17040924201707060039,D,D06,CO,Dredge,22,6,07-06-2017,850,120,SH,,WH,,,
2017,07-06-2017,SO1,0039,DS17-5589,DS17040924201707060039,D,D06,CO,Dredge,22,46,07-06-2017,850,98,SH,,WH,,,
2017,07-06-2017,SO1,0041,DS17-5589,DS17040924201707060041,D,D06,CO,Dredge,22,6,07-06-2017,850,126,SH,,WH,,,
2017,07-06-2017,SO1,0041,DS17-5589,DS17040924201707060041,D,D06,CO,Dredge,22,46,07-06-2017,850,91,SH,,WH,,,
2017,07-07-2017,SO1,0055,DS17-5589,DS17040924201707070055,D,D06,CO,Dredge,22,8,07-07-2017,850,123,SH,,WH,,,
2017,07-07-2017,SO1,0055,DS17-5589,DS17040924201707070055,D,D06,CO,Dredge,22,48,07-07-2017,850,96,SH,,WH,,,
2017,07-07-2017,SO1,0057,DS17-5589,DS17040924201707070057,D,D06,CO,Dredge,22,8,07-07-2017,850,115,SH,,WH,,,
2017,07-07-2017,SO1,0057,DS17-5589,DS17040924201707070057,D,D06,CO,Dredge,22,48,07-07-2017,850,107,SH,,WH,,,
2017,07-07-2017,SO1,0059,DS17-5589,DS17040924201707070059,D,D06,CO,Dredge,22,8,07-07-2017,850,122,SH,,WH,,,
2017,07-07-2017,SO1,0059,DS17-5589,DS17040924201707070059,D,D06,CO,Dredge,22,48,07-07-2017,850,104,SH,,WH,,,
2017,07-07-2017,SO1,0061,DS17-5589,DS17040924201707070061,D,D06,CO,Dredge,22,8,07-07-2017,850,121,SH,,WH,,,
2017,07-07-2017,SO1,0061,DS17-5589,DS17040924201707070061,D,D06,CO,Dredge,22,48,07-07-2017,850,82,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,1,07-07-2017,850,116,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,2,07-07-2017,850,127,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,4,07-07-2017,850,124,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,5,07-07-2017,850,130,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,6,07-07-2017,850,119,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,7,07-07-2017,850,119,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,8,07-07-2017,850,122,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,9,07-07-2017,850,116,SH,,WH,,,
2017,07-07-2017,SO2,0063,DS17-5589,DS17040924201707070063,D,D06,CO,Dredge,22,10,07-07-2017,850,124,SH,,WH,,,
2017,07-08-2017,SO1,0079,DS17-5589,DS17040924201707080079,D,D06,CO,Dredge,22,2,07-08-2017,850,120,SH,,WH,,,
2017,07-08-2017,SO1,0081,DS17-5589,DS17040924201707080081,D,D06,CO,Dredge,22,2,07-08-2017,850,122,SH,,WH,,,
2017,07-08-2017,SO1,0081,DS17-5589,DS17040924201707080081,D,D06,CO,Dredge,22,42,07-08-2017,850,88,SH,,WH,,,
2017,07-08-2017,SO1,0083,DS17-5589,DS17040924201707080083,D,D06,CO,Dredge,22,2,07-08-2017,850,130,SH,,WH,,,
2017,07-08-2017,SO1,0083,DS17-5589,DS17040924201707080083,D,D06,CO,Dredge,22,42,07-08-2017,850,84,SH,,WH,,,
2017,07-08-2017,SO1,0085,DS17-5589,DS17040924201707080085,D,D06,CO,Dredge,22,2,07-08-2017,850,118,SH,,WH,,,
2017,07-08-2017,SO1,0085,DS17-5589,DS17040924201707080085,D,D06,CO,Dredge,22,42,07-08-2017,850,107,SH,,WH,,,
