sample_year,sample_date,project_code,trip_no,effort_no,submitter_sample_id,management_area_code,location_code,fishery_code,gear_type,gear_code,submitter_specimen_id,date_sampled,field_species_code,length,length_type_code,weight,weight_type_code,gender_code,maturity_code,specimen_comment
2019,08-07-2019,SO1,0001,DS19-6272,DS19040924201908070001,D,D08,CO,Dredge,22,DS190409242019080700010012,08-07-2019,850,154,SH,,WH,,,
2019,08-07-2019,SO1,0001,DS19-6272,DS19040924201908070001,D,D08,CO,Dredge,22,DS190409242019080700010046,08-07-2019,850,119,SH,,WH,,,
2019,08-08-2019,SO1,0013,DS19-6272,DS19040924201908080013,D,D01,CO,Dredge,22,DS190409242019080800130002,08-08-2019,850,140,SH,,WH,,,
2019,08-08-2019,SO1,0013,DS19-6272,DS19040924201908080013,D,D01,CO,Dredge,22,DS190409242019080800130052,08-08-2019,850,86,SH,,WH,,,
2019,08-08-2019,SO1,0015,DS19-6272,DS19040924201908080015,D,D01,CO,Dredge,22,DS190409242019080800150007,08-08-2019,850,135,SH,,WH,,,
2019,08-08-2019,SO1,0015,DS19-6272,DS19040924201908080015,D,D01,CO,Dredge,22,DS190409242019080800150054,08-08-2019,850,103,SH,,WH,,,
2019,08-08-2019,SO1,0019,DS19-6272,DS19040924201908080019,D,D01,CO,Dredge,22,DS190409242019080800190015,08-08-2019,850,139,SH,,WH,,,
2019,08-08-2019,SO1,0019,DS19-6272,DS19040924201908080019,D,D01,CO,Dredge,22,DS190409242019080800190044,08-08-2019,850,106,SH,,WH,,,
2019,08-08-2019,SO1,0022,DS19-6272,DS19040924201908080022,D,D01,CO,Dredge,22,DS190409242019080800220011,08-08-2019,850,142,SH,,WH,,,
2019,08-08-2019,SO1,0022,DS19-6272,DS19040924201908080022,D,D01,CO,Dredge,22,DS190409242019080800220050,08-08-2019,850,113,SH,,WH,,,
2019,08-08-2019,SO1,0024,DS19-6272,DS19040924201908080024,D,D01,CO,Dredge,22,DS190409242019080800240001,08-08-2019,850,132,SH,,WH,,,
2019,08-08-2019,SO1,0024,DS19-6272,DS19040924201908080024,D,D01,CO,Dredge,22,DS190409242019080800240048,08-08-2019,850,104,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350001,08-09-2019,850,129,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350002,08-09-2019,850,131,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350003,08-09-2019,850,131,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350004,08-09-2019,850,134,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350005,08-09-2019,850,131,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350006,08-09-2019,850,135,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350007,08-09-2019,850,136,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350008,08-09-2019,850,139,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350009,08-09-2019,850,127,SH,,WH,,,
2019,08-09-2019,SO2,0035,DS19-6272,DS19040924201908090035,D,D02,CO,Dredge,22,DS190409242019080900350010,08-09-2019,850,133,SH,,WH,,,
2019,08-09-2019,SO1,0037,DS19-6272,DS19040924201908090037,D,D02,CO,Dredge,22,DS190409242019080900370016,08-09-2019,850,124,SH,,WH,,,
2019,08-09-2019,SO1,0037,DS19-6272,DS19040924201908090037,D,D02,CO,Dredge,22,DS190409242019080900370046,08-09-2019,850,111,SH,,WH,,,
2019,08-09-2019,SO1,0039,DS19-6272,DS19040924201908090039,D,D02,CO,Dredge,22,DS190409242019080900390005,08-09-2019,850,133,SH,,WH,,,
2019,08-09-2019,SO1,0039,DS19-6272,DS19040924201908090039,D,D02,CO,Dredge,22,DS190409242019080900390043,08-09-2019,850,109,SH,,WH,,,
2019,08-09-2019,SO1,0042,DS19-6272,DS19040924201908090042,D,D03,CO,Dredge,22,DS190409242019080900420009,08-09-2019,850,137,SH,,WH,,,
2019,08-09-2019,SO1,0042,DS19-6272,DS19040924201908090042,D,D03,CO,Dredge,22,DS190409242019080900420051,08-09-2019,850,118,SH,,WH,,,
2019,08-09-2019,SO1,0044,DS19-6272,DS19040924201908090044,D,D03,CO,Dredge,22,DS190409242019080900440007,08-09-2019,850,129,SH,,WH,,,
2019,08-09-2019,SO1,0044,DS19-6272,DS19040924201908090044,D,D03,CO,Dredge,22,DS190409242019080900440057,08-09-2019,850,117,SH,,WH,,,
2019,08-10-2019,SO1,0060,DS19-6272,DS19040924201908100060,D,D03,CO,Dredge,22,DS190409242019081000600005,08-10-2019,850,129,SH,,WH,,,
2019,08-10-2019,SO1,0060,DS19-6272,DS19040924201908100060,D,D03,CO,Dredge,22,DS190409242019081000600041,08-10-2019,850,113,SH,,WH,,,
2019,08-10-2019,SO1,0062,DS19-6272,DS19040924201908100062,D,D03,CO,Dredge,22,DS190409242019081000620015,08-10-2019,850,137,SH,,WH,,,
2019,08-10-2019,SO1,0062,DS19-6272,DS19040924201908100062,D,D03,CO,Dredge,22,DS190409242019081000620049,08-10-2019,850,117,SH,,WH,,,
2019,08-10-2019,SO1,0064,DS19-6272,DS19040924201908100064,D,D03,CO,Dredge,22,DS190409242019081000640008,08-10-2019,850,133,SH,,WH,,,
2019,08-10-2019,SO1,0064,DS19-6272,DS19040924201908100064,D,D03,CO,Dredge,22,DS190409242019081000640048,08-10-2019,850,118,SH,,WH,,,
2019,08-10-2019,SO1,0066,DS19-6272,DS19040924201908100066,D,D03,CO,Dredge,22,DS190409242019081000660010,08-10-2019,850,127,SH,,WH,,,
2019,08-10-2019,SO1,0066,DS19-6272,DS19040924201908100066,D,D03,CO,Dredge,22,DS190409242019081000660053,08-10-2019,850,112,SH,,WH,,,
2019,08-10-2019,SO1,0068,DS19-6272,DS19040924201908100068,D,D03,CO,Dredge,22,DS190409242019081000680006,08-10-2019,850,129,SH,,WH,,,
2019,08-10-2019,SO1,0068,DS19-6272,DS19040924201908100068,D,D03,CO,Dredge,22,DS190409242019081000680049,08-10-2019,850,118,SH,,WH,,,
2019,08-11-2019,SO1,0079,DS19-6272,DS19040924201908110079,D,D03,CO,Dredge,22,DS190409242019081100790019,08-11-2019,850,140,SH,,WH,,,
2019,08-11-2019,SO1,0079,DS19-6272,DS19040924201908110079,D,D03,CO,Dredge,22,DS190409242019081100790059,08-11-2019,850,116,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810001,08-11-2019,850,129,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810002,08-11-2019,850,138,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810003,08-11-2019,850,130,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810004,08-11-2019,850,135,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810005,08-11-2019,850,132,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810006,08-11-2019,850,123,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810007,08-11-2019,850,124,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810008,08-11-2019,850,125,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810009,08-11-2019,850,135,SH,,WH,,,
2019,08-11-2019,SO2,0081,DS19-6272,DS19040924201908110081,D,D03,CO,Dredge,22,DS190409242019081100810010,08-11-2019,850,126,SH,,WH,,,
2019,08-11-2019,SO1,0083,DS19-6272,DS19040924201908110083,D,D03,CO,Dredge,22,DS190409242019081100830013,08-11-2019,850,133,SH,,WH,,,
