"","sample_year","ADUID","ADU_SPECIMEN_ID","sample_date","trip_no","effort_no","management_area_code","location_code","submitter_specimen_id","Bin"
"1",2019,"19D6272~001",12,2019-08-07,"0001","DS19-6272","D","D08","DS190409242019080700010012","(153,155]"
"2",2019,"19D6272~001",46,2019-08-07,"0001","DS19-6272","D","D08","DS190409242019080700010046","(117,119]"
"3",2019,"19D6273~001",2,2019-08-10,"0001","DS19-6273","D","D08","DS190582002019081000010002","(139,141]"
"4",2019,"19D6273~001",41,2019-08-10,"0001","DS19-6273","D","D08","DS190582002019081000010041","(131,133]"
"5",2019,"19D6273~004",6,2019-08-10,"0004","DS19-6273","D","D08","DS190582002019081000040006","(147,149]"
"6",2019,"19D6273~004",41,2019-08-10,"0004","DS19-6273","D","D08","DS190582002019081000040041","(115,117]"
"7",2019,"19D6273~006",19,2019-08-10,"0006","DS19-6273","D","D08","DS190582002019081000060019","(161,163]"
"8",2019,"19D6273~006",41,2019-08-10,"0006","DS19-6273","D","D08","DS190582002019081000060041","(119,121]"
"9",2019,"19D6272~013",2,2019-08-08,"0013","DS19-6272","D","D01","DS190409242019080800130002","(139,141]"
"10",2019,"19D6272~013",52,2019-08-08,"0013","DS19-6272","D","D01","DS190409242019080800130052","(85,87]"
"11",2019,"19D6272~015",7,2019-08-08,"0015","DS19-6272","D","D01","DS190409242019080800150007","(133,135]"
"12",2019,"19D6272~015",54,2019-08-08,"0015","DS19-6272","D","D01","DS190409242019080800150054","(101,103]"
"13",2019,"19D6272~019",15,2019-08-08,"0019","DS19-6272","D","D01","DS190409242019080800190015","(137,139]"
"14",2019,"19D6272~019",44,2019-08-08,"0019","DS19-6272","D","D01","DS190409242019080800190044","(105,107]"
"15",2019,"19D6272~022",11,2019-08-08,"0022","DS19-6272","D","D01","DS190409242019080800220011","(141,143]"
"16",2019,"19D6272~022",50,2019-08-08,"0022","DS19-6272","D","D01","DS190409242019080800220050","(111,113]"
"9.1",2019,"19D6272~024",1,2019-08-08,"0024","DS19-6272","D","D01","DS190409242019080800240001","(131,133]"
"10.1",2019,"19D6272~024",48,2019-08-08,"0024","DS19-6272","D","D01","DS190409242019080800240048","(103,105]"
"19",2019,"19D6273~019",13,2019-08-11,"0019","DS19-6273","D","D02","DS190582002019081100190013","(125,131]"
"20",2019,"19D6273~016",9,2019-08-11,"0016","DS19-6273","D","D02","DS190582002019081100160009","(117,119]"
"21",2019,"19D6272~035",4,2019-08-09,"0035","DS19-6272","D","D02","DS190409242019080900350004","(133,135]"
"23",2019,"19D6272~037",46,2019-08-09,"0037","DS19-6272","D","D02","DS190409242019080900370046","(109,111]"
"26",2019,"19D6272~039",43,2019-08-09,"0039","DS19-6272","D","D02","DS190409242019080900390043","(107,109]"
"28",2019,"19D6272~039",5,2019-08-09,"0039","DS19-6272","D","D02","DS190409242019080900390005","(131,133]"
"29",2019,"19D6292~305",3,2019-10-13,"0305","DS19-6292","D","D02","DS190582002019101303050003","(117,119]"
"30",2019,"19D6272~035",3,2019-08-09,"0035","DS19-6272","D","D02","DS190409242019080900350003","(125,131]"
"31",2019,"19D6272~035",8,2019-08-09,"0035","DS19-6272","D","D02","DS190409242019080900350008","(137,139]"
"32",2019,"19D6292~303",43,2019-10-13,"0303","DS19-6292","D","D02","DS190582002019101303030043","(97,99]"
"33",2019,"19D6292~310",43,2019-10-13,"0310","DS19-6292","D","D02","DS190582002019101303100043","(91,93]"
"21.1",2019,"19D6273~019",51,2019-08-11,"0019","DS19-6273","D","D02","DS190582002019081100190051","(99,101]"
"24.1",2019,"19D6272~037",16,2019-08-09,"0037","DS19-6272","D","D02","DS190409242019080900370016","(123,125]"
"26.1",2019,"19D6272~035",6,2019-08-09,"0035","DS19-6272","D","D02","DS190409242019080900350006","(133,135]"
"27.1",2019,"19D6292~305",43,2019-10-13,"0305","DS19-6292","D","D02","DS190582002019101303050043","(99,101]"
"29.1",2019,"19D6292~307",43,2019-10-13,"0307","DS19-6292","D","D02","DS190582002019101303070043","(95,97]"
"49",2019,"19D6272~081",7,2019-08-11,"0081","DS19-6272","D","D03","DS190409242019081100810007","(123,125]"
"50",2019,"19D6273~524",4,2019-09-05,"0524","DS19-6273","D","D03","DS190582002019090505240004","(139,141]"
"51",2019,"19D6272~114",45,2019-08-13,"0114","DS19-6272","D","D03","DS190409242019081301140045","(101,103]"
"52",2019,"19D6272~150",51,2019-08-15,"0150","DS19-6272","D","D03","DS190409242019081501500051","(83,85]"
"53",2019,"19D6272~081",6,2019-08-11,"0081","DS19-6272","D","D03","DS190409242019081100810006","(121,123]"
"54",2019,"19D6273~506",48,2019-09-04,"0506","DS19-6273","D","D03","DS190582002019090405060048","(97,99]"
"55",2019,"19D6273~039",5,2019-08-12,"0039","DS19-6273","D","D03","DS190582002019081200390005","(131,133]"
"57",2019,"19D6273~501",11,2019-09-04,"0501","DS19-6273","D","D03","DS190582002019090405010011","(133,135]"
"58",2019,"19D6273~039",4,2019-08-12,"0039","DS19-6273","D","D03","DS190582002019081200390004","(121,123]"
