"","sample_year","BinLocation","ADUID","sample_date","trip_no","effort_no","management_area_code","location_code","submitter_specimen_id","res"
"1",2020,"K13 (155,157]","20010012",2020-04-29,"012","2001",NA,"K13",6,0.0722360545167503
"2",2020,"K13 (50,75]","20010004",2020-04-29,"004","2001",NA,"K13",12,0.295807532817651
"3",2020,"K13 (125,131]","20010005",2020-04-29,"005","2001",NA,"K13",4,0.150235050180827
"4",2020,"K13 (115,117]","20010048",2020-05-02,"048","2001",NA,"K13",3,0.052729303001929
"5",2020,"K13 (131,133]","20010042",2020-05-01,"042","2001",NA,"K13",9,0.0659804952863511
"6",2020,"K13 (79,81]","20010038",2020-05-01,"038","2001",NA,"K13",12,-0.0792041415788689
"7",2020,"K13 (151,153]","20010040",2020-05-01,"040","2001",NA,"K13",10,0.0443118229867369
"8",2020,"K13 (99,101]","20010037",2020-05-01,"037","2001",NA,"K13",10,0.107373981422919
"9",2020,"K13 (153,155]","20010012",2020-04-29,"012","2001",NA,"K13",3,-0.102465369190659
"10",2020,"K13 (117,119]","20010049",2020-05-02,"049","2001",NA,"K13",3,-0.0355018984695564
"11",2020,"K13 (91,93]","20010019",2020-04-30,"019","2001",NA,"K13",13,-0.0660221117087961
"12",2020,"K13 (93,95]","20010033",2020-05-01,"033","2001",NA,"K13",11,-0.0690181936487027
"14",2020,"K13 (83,85]","20010052",2020-05-02,"052","2001",NA,"K13",16,0.125478044702498
"15",2020,"K13 (163,165]","20010040",2020-05-01,"040","2001",NA,"K13",2,0.0915037852846822
"16",2020,"K13 (25,50]","20010015",2020-04-30,"015","2001",NA,"K13",20,-0.0205887689036109
"17",2020,"K13 (151,153]","20010004",2020-04-29,"004","2001",NA,"K13",3,0.0786365655278115
"18",2020,"K13 (93,95]","20010017",2020-04-30,"017","2001",NA,"K13",11,-0.0445499390266786
"19",2020,"K13 (99,101]","20010034",2020-05-01,"034","2001",NA,"K13",9,0.0138449584946889
"20",2020,"K13 (101,103]","20010012",2020-04-29,"012","2001",NA,"K13",7,-0.0523554160415931
"21",2020,"K13 (147,149]","20010008",2020-04-29,"008","2001",NA,"K13",1,0.0884563285791528
"22",2020,"K13 (145,147]","20010025",2020-04-30,"025","2001",NA,"K13",4,0.109705256448629
"23",2020,"K13 (97,99]","20010030",2020-05-01,"030","2001",NA,"K13",11,-0.0195947654117201
"24",2020,"K13 (111,113]","20010020",2020-04-30,"020","2001",NA,"K13",7,-0.1083556896863
"25",2020,"K13 (137,139]","20010052",2020-05-02,"052","2001",NA,"K13",9,0.226584464377464
"26",2020,"K13 (117,119]","20010039",2020-05-01,"039","2001",NA,"K13",2,0.106672590310987
"27",2020,"K13 (161,163]","20010022",2020-04-30,"022","2001",NA,"K13",1,-0.106085874708538
"28",2020,"K13 (105,107]","20010047",2020-05-02,"047","2001",NA,"K13",10,0.112280632417663
"29",2020,"K13 (159,161]","20010006",2020-04-29,"006","2001",NA,"K13",4,0.229115350507504
"30",2020,"K13 (107,109]","20010048",2020-05-02,"048","2001",NA,"K13",10,0.0604814437967269
"31",2020,"K01 (117,119]","20010057",2020-05-03,"057","2001",NA,"K01",5,0.022235266938131
"32",2020,"K01 (79,81]","20010055",2020-05-03,"055","2001",NA,"K01",14,-0.191682125005559
"33",2020,"K01 (85,87]","20010066",2020-05-03,"066","2001",NA,"K01",12,0.0604268279704369
"34",2020,"K01 (0,25]","20010056",2020-05-03,"056","2001",NA,"K01",19,0.676113201282513
"35",2020,"K01 (111,113]","20010065",2020-05-03,"065","2001",NA,"K01",5,-0.0566200152871117
"36",2020,"K01 (169,171]","20010065",2020-05-03,"065","2001",NA,"K01",1,-0.00402564957703517
"37",2020,"K01 (75,77]","20010066",2020-05-03,"066","2001",NA,"K01",13,-0.00350772725994631
"38",2020,"K01 (115,117]","20010056",2020-05-03,"056","2001",NA,"K01",6,0.0497100162008202
"39",2020,"K01 (137,139]","20010060",2020-05-03,"060","2001",NA,"K01",1,-0.0169692577608863
"40",2020,"K01 (91,93]","20010055",2020-05-03,"055","2001",NA,"K01",12,-0.111076154133926
"41",2020,"K01 (123,125]","20010055",2020-05-03,"055","2001",NA,"K01",1,-0.00244365255966466
"43",2020,"K01 (113,115]","20010066",2020-05-03,"066","2001",NA,"K01",7,-0.123076640281962
"44",2020,"K01 (131,133]","20010062",2020-05-03,"062","2001",NA,"K01",6,0.0845856831173853
"45",2020,"K01 (95,97]","20010063",2020-05-03,"063","2001",NA,"K01",13,-0.0768489822206951
"46",2020,"K01 (93,95]","20010066",2020-05-03,"066","2001",NA,"K01",2,-0.156029570638333
"47",2020,"K01 (97,99]","20010067",2020-05-03,"067","2001",NA,"K01",4,-0.0479917224812298
"48",2020,"K01 (105,107]","20010067",2020-05-03,"067","2001",NA,"K01",7,-0.0666165966510557
"49",2020,"K01 (121,123]","20010063",2020-05-03,"063","2001",NA,"K01",5,-0.00403874976359447
"50",2020,"K01 (115,117]","20010057",2020-05-03,"057","2001",NA,"K01",2,0.079046611319303
"51",2020,"K01 (83,85]","20010059",2020-05-03,"059","2001",NA,"K01",12,-0.0992491842227878
"52",2020,"K01 (93,95]","20010060",2020-05-03,"060","2001",NA,"K01",8,0.0314359679512437
"53",2020,"K01 (91,93]","20010060",2020-05-03,"060","2001",NA,"K01",11,-0.0672735314755327
"54",2020,"K01 (123,125]","20010056",2020-05-03,"056","2001",NA,"K01",8,-0.0309162732835774
"55",2020,"K01 (101,103]","20010067",2020-05-03,"067","2001",NA,"K01",5,-0.0202671014900929
"56",2020,"K01 (107,109]","20010061",2020-05-03,"061","2001",NA,"K01",9,-0.00620993070194552
"57",2020,"K01 (125,131]","20010065",2020-05-03,"065","2001",NA,"K01",3,-0.0708238364870604
"58",2020,"K01 (113,115]","20010056",2020-05-03,"056","2001",NA,"K01",10,-0.0730662197073018
"59",2020,"K01 (143,145]","20010059",2020-05-03,"059","2001",NA,"K01",2,0.0216836934971523
"60",2020,"K01 (87,89]","20010061",2020-05-03,"061","2001",NA,"K01",13,-0.17221080111054
"61",2020,"K06 (105,107]","20010068",2020-05-04,"068","2001",NA,"K06",6,0.00152926812495965
"62",2020,"K06 (137,139]","20010073",2020-05-04,"073","2001",NA,"K06",10,0.0407966996070229
"63",2020,"K06 (93,95]","20010069",2020-05-04,"069","2001",NA,"K06",15,-0.156029570638333
"64",2020,"K06 (89,91]","20010073",2020-05-04,"073","2001",NA,"K06",12,-0.0653056312745597
"65",2020,"K06 (109,111]","20010072",2020-05-04,"072","2001",NA,"K06",7,0.0176562826767812
"66",2020,"K06 (109,111]","20010074",2020-05-04,"074","2001",NA,"K06",4,-0.0231657118434744
"67",2020,"K06 (83,85]","20010070",2020-05-04,"070","2001",NA,"K06",17,0.0293681935993056
"68",2020,"K06 (155,157]","20010068",2020-05-04,"068","2001",NA,"K06",5,-0.0503476520554546
"69",2020,"K06 (25,50]","20010068",2020-05-04,"068","2001",NA,"K06",19,-0.163302225780929
