"","sample_year","sample_date","project_code","trip_no","effort_no","submitter_sample_id","management_area_code","location_code","fishery_code","gear_type","gear_code","submitter_specimen_id","date_sampled","field_species_code","length","length_type_code","weight","weight_type_code","gender_code","maturity_code","specimen_comment","Bin","BinLocation","ADUID"
"1",2017,2017-07-04,"SO1","0003","DS17-5589","DS17040924201707040003","YAK","D06","CO","Dredge","22",3,2017-07-04,"850",143,"SH",NA,"WH",NA,NA,NA,"(141,143]","D06 (141,143]","17D5589~003"
"6",2017,2017-07-04,"SO1","0003","DS17-5589","DS17040924201707040003","YAK","D06","CO","Dredge","22",43,2017-07-04,"850",86,"SH",NA,"WH",NA,NA,NA,"(85,87]","D06 (85,87]","17D5589~003"
"11",2017,2017-07-04,"SO1","0005","DS17-5589","DS17040924201707040005","YAK","D06","CO","Dredge","22",3,2017-07-04,"850",112,"SH",NA,"WH",NA,NA,NA,"(111,113]","D06 (111,113]","17D5589~005"
"16",2017,2017-07-05,"SO1","0017","DS17-5589","DS17040924201707050017","YAK","D06","CO","Dredge","22",4,2017-07-05,"850",108,"SH",NA,"WH",NA,NA,NA,"(107,109]","D06 (107,109]","17D5589~017"
"18",2017,2017-07-04,"SO1","0005","DS17-5589","DS17040924201707040005","YAK","D06","CO","Dredge","22",43,2017-07-04,"850",109,"SH",NA,"WH",NA,NA,NA,"(107,109]","D06 (107,109]","17D5589~005"
"21",2017,2017-07-05,"SO1","0015","DS17-5589","DS17040924201707050015","YAK","D06","CO","Dredge","22",4,2017-07-05,"850",114,"SH",NA,"WH",NA,NA,NA,"(113,115]","D06 (113,115]","17D5589~015"
"22",2017,2017-07-07,"SO1","0057","DS17-5589","DS17040924201707070057","YAK","D06","CO","Dredge","22",8,2017-07-07,"850",115,"SH",NA,"WH",NA,NA,NA,"(113,115]","D06 (113,115]","17D5589~057"
"26",2017,2017-07-06,"SO1","0039","DS17-5589","DS17040924201707060039","YAK","D06","CO","Dredge","22",46,2017-07-06,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","D06 (97,99]","17D5589~039"
"27",2017,2017-07-05,"SO1","0015","DS17-5589","DS17040924201707050015","YAK","D06","CO","Dredge","22",44,2017-07-05,"850",98,"SH",NA,"WH",NA,NA,NA,"(97,99]","D06 (97,99]","17D5589~015"
"31",2017,2017-07-07,"SO1","0061","DS17-5589","DS17040924201707070061","YAK","D06","CO","Dredge","22",48,2017-07-07,"850",82,"SH",NA,"WH",NA,NA,NA,"(81,83]","D06 (81,83]","17D5589~061"
